fileNumber,activityNumber,startPoint,endPoint,fileName,ativityCategory
7,1,423,645,user4_ph_1,3
7,2,1081,1319,user4_ph_1,3
7,3,1735,1953,user4_ph_1,3
7,4,2346,2558,user4_ph_1,3
7,5,2971,3184,user4_ph_1,3
7,6,3550,3664,user4_ph_1,4
7,7,4027,4225,user4_ph_1,4
7,8,4605,4808,user4_ph_1,4
7,9,5201,5397,user4_ph_1,4
7,10,5795,5996,user4_ph_1,4
8,1,474,662,user4_ph_2,3
8,2,1138,1318,user4_ph_2,3
8,3,1767,1895,user4_ph_2,3
8,4,2230,2442,user4_ph_2,3
8,5,2786,2979,user4_ph_2,3
8,6,3393,3585,user4_ph_2,4
8,7,3969,4169,user4_ph_2,4
8,8,4520,4690,user4_ph_2,4
8,9,5043,5229,user4_ph_2,4
8,10,5618,5835,user4_ph_2,4
9,1,421,585,user4_ph_3,3
9,2,984,1166,user4_ph_3,3
9,3,1572,1729,user4_ph_3,3
9,4,2081,2191,user4_ph_3,3
9,5,2561,2744,user4_ph_3,3
9,6,3149,3342,user4_ph_3,4
9,7,3702,3907,user4_ph_3,4
9,8,4293,4494,user4_ph_3,4
9,9,4880,5074,user4_ph_3,4
9,10,5460,5665,user4_ph_3,4
10,1,432,624,user4_ph_4,3
10,2,970,1111,user4_ph_4,3
10,3,1507,1693,user4_ph_4,3
10,4,2138,2320,user4_ph_4,3
10,5,2707,2893,user4_ph_4,3
10,6,3285,3501,user4_ph_4,4
10,7,3881,4087,user4_ph_4,4
10,8,4442,4649,user4_ph_4,4
10,9,5063,5301,user4_ph_4,4
10,10,5652,5857,user4_ph_4,4
11,1,554,718,user4_ph_5,3
11,2,1156,1358,user4_ph_5,3
11,3,1731,1928,user4_ph_5,3
11,4,2345,2527,user4_ph_5,3
11,5,2907,3098,user4_ph_5,3
11,6,3458,3649,user4_ph_5,4
11,7,4019,4224,user4_ph_5,4
11,8,4592,4799,user4_ph_5,4
11,9,5095,5211,user4_ph_5,4
11,10,5585,5774,user4_ph_5,4
12,1,465,675,user4_ph_6,3
12,2,1032,1203,user4_ph_6,3
12,3,1628,1828,user4_ph_6,3
12,4,2208,2433,user4_ph_6,3
12,5,2838,3049,user4_ph_6,3
12,6,3436,3658,user4_ph_6,4
12,7,4044,4164,user4_ph_6,4
12,8,4467,4654,user4_ph_6,4
12,9,5057,5240,user4_ph_6,4
12,10,5641,5843,user4_ph_6,4
13,1,423,616,user4_rp_1,5
13,2,1065,1261,user4_rp_1,5
13,3,1622,1859,user4_rp_1,5
13,4,2257,2475,user4_rp_1,5
13,5,2844,3038,user4_rp_1,5
13,6,3443,3836,user4_rp_1,6
13,7,4243,4575,user4_rp_1,6
13,8,5028,5370,user4_rp_1,6
13,9,5774,6072,user4_rp_1,6
13,10,6464,6780,user4_rp_1,6
14,1,245,460,user4_rp_2,5
14,2,953,1166,user4_rp_2,5
14,3,1576,1798,user4_rp_2,5
14,4,2143,2382,user4_rp_2,5
14,5,2783,3020,user4_rp_2,5
14,6,3479,3822,user4_rp_2,6
14,7,4272,4672,user4_rp_2,6
14,8,5056,5439,user4_rp_2,6
14,9,5680,6024,user4_rp_2,6
14,10,6527,6886,user4_rp_2,6
15,1,420,586,user4_rp_3,5
15,2,1072,1309,user4_rp_3,5
15,3,1662,1788,user4_rp_3,5
15,4,2184,2402,user4_rp_3,5
15,5,2813,3000,user4_rp_3,5
15,6,3461,3781,user4_rp_3,6
15,7,4199,4510,user4_rp_3,6
15,8,4924,5291,user4_rp_3,6
15,9,5671,5991,user4_rp_3,6
15,10,6442,6766,user4_rp_3,6
16,1,406,609,user4_rp_4,5
16,2,990,1174,user4_rp_4,5
16,3,1553,1774,user4_rp_4,5
16,4,2163,2377,user4_rp_4,5
16,5,2752,2904,user4_rp_4,5
16,6,3190,3516,user4_rp_4,6
16,7,4020,4286,user4_rp_4,6
16,8,4671,5054,user4_rp_4,6
16,9,5448,5806,user4_rp_4,6
16,10,6199,6575,user4_rp_4,6
17,1,304,449,user4_rp_5,5
17,2,842,1034,user4_rp_5,5
17,3,1426,1645,user4_rp_5,5
17,4,2059,2239,user4_rp_5,5
17,5,2687,2906,user4_rp_5,5
17,6,3351,3747,user4_rp_5,6
17,7,4205,4581,user4_rp_5,6
17,8,4982,5319,user4_rp_5,6
17,9,5678,6007,user4_rp_5,6
17,10,6241,6647,user4_rp_5,6
18,1,442,637,user4_rp_6,5
18,2,1021,1186,user4_rp_6,5
18,3,1594,1824,user4_rp_6,5
18,4,2256,2437,user4_rp_6,5
18,5,2872,3066,user4_rp_6,5
18,6,3514,3911,user4_rp_6,6
18,7,4258,4762,user4_rp_6,6
18,8,5280,5574,user4_rp_6,6
18,9,6011,6258,user4_rp_6,6
18,10,6711,7059,user4_rp_6,6
19,1,432,612,user4_sd_1,7
19,2,1007,1134,user4_sd_1,7
19,3,1448,1618,user4_sd_1,7
19,4,2063,2245,user4_sd_1,7
19,5,2688,2887,user4_sd_1,7
19,6,3347,3545,user4_sd_1,8
19,7,3926,4145,user4_sd_1,8
19,8,4535,4771,user4_sd_1,8
19,9,5168,5393,user4_sd_1,8
19,10,5814,6052,user4_sd_1,8
20,1,491,681,user4_sd_2,7
20,2,1075,1279,user4_sd_2,7
20,3,1682,1872,user4_sd_2,7
20,4,2268,2431,user4_sd_2,7
20,5,2698,2900,user4_sd_2,7
20,6,3317,3520,user4_sd_2,8
20,7,3924,4159,user4_sd_2,8
20,8,4541,4745,user4_sd_2,8
20,9,5115,5345,user4_sd_2,8
20,10,5801,6028,user4_sd_2,8
21,1,540,693,user4_sd_3,7
21,2,1133,1284,user4_sd_3,7
21,3,1716,1906,user4_sd_3,7
21,4,2334,2497,user4_sd_3,7
21,5,2961,3140,user4_sd_3,7
21,6,3576,3820,user4_sd_3,8
21,7,4187,4322,user4_sd_3,8
21,8,4709,4996,user4_sd_3,8
21,9,5412,5652,user4_sd_3,8
21,10,6148,6368,user4_sd_3,8
22,1,404,594,user4_sd_4,7
22,2,991,1186,user4_sd_4,7
22,3,1640,1817,user4_sd_4,7
22,4,2293,2496,user4_sd_4,7
22,5,2897,3091,user4_sd_4,7
22,6,3410,3585,user4_sd_4,8
22,7,3952,4198,user4_sd_4,8
22,8,4553,4766,user4_sd_4,8
22,9,5203,5431,user4_sd_4,8
22,10,5863,6079,user4_sd_4,8
23,1,443,610,user4_sd_5,7
23,2,1023,1209,user4_sd_5,7
23,3,1620,1802,user4_sd_5,7
23,4,2022,2222,user4_sd_5,7
23,5,2612,2805,user4_sd_5,7
23,6,3281,3487,user4_sd_5,8
23,7,3872,4090,user4_sd_5,8
23,8,4453,4659,user4_sd_5,8
23,9,5090,5315,user4_sd_5,8
23,10,5708,5919,user4_sd_5,8
24,1,446,543,user4_sd_6,7
24,2,830,1047,user4_sd_6,7
24,3,1432,1637,user4_sd_6,7
24,4,2081,2279,user4_sd_6,7
24,5,2685,2851,user4_sd_6,7
24,6,3298,3493,user4_sd_6,8
24,7,3903,4107,user4_sd_6,8
24,8,4529,4743,user4_sd_6,8
24,9,5072,5244,user4_sd_6,8
24,10,5657,5858,user4_sd_6,8
25,1,422,616,user4_wd_1,9
25,2,1004,1203,user4_wd_1,9
25,3,1680,1871,user4_wd_1,9
25,4,2258,2419,user4_wd_1,9
25,5,2830,2996,user4_wd_1,9
25,6,3416,3618,user4_wd_1,10
25,7,4085,4277,user4_wd_1,10
25,8,4733,4963,user4_wd_1,10
25,9,5304,5441,user4_wd_1,10
25,10,5851,6093,user4_wd_1,10
26,1,452,645,user4_wd_2,9
26,2,1063,1293,user4_wd_2,9
26,3,1694,1895,user4_wd_2,9
26,4,2294,2501,user4_wd_2,9
26,5,2855,3042,user4_wd_2,9
26,6,3325,3558,user4_wd_2,10
26,7,3972,4199,user4_wd_2,10
26,8,4639,4914,user4_wd_2,10
26,9,5359,5595,user4_wd_2,10
26,10,5997,6257,user4_wd_2,10
27,1,456,646,user4_wd_3,9
27,2,1044,1209,user4_wd_3,9
27,3,1466,1656,user4_wd_3,9
27,4,2027,2250,user4_wd_3,9
27,5,2616,2836,user4_wd_3,9
27,6,3315,3553,user4_wd_3,10
27,7,3983,4229,user4_wd_3,10
27,8,4595,4881,user4_wd_3,10
27,9,5275,5545,user4_wd_3,10
27,10,5931,6203,user4_wd_3,10
28,1,494,702,user4_wd_4,9
28,2,1135,1355,user4_wd_4,9
28,3,1774,1991,user4_wd_4,9
28,4,2421,2641,user4_wd_4,9
28,5,3037,3245,user4_wd_4,9
28,6,3659,3875,user4_wd_4,10
28,7,4192,4502,user4_wd_4,10
28,8,4885,5190,user4_wd_4,10
28,9,5578,5893,user4_wd_4,10
28,10,6289,6595,user4_wd_4,10
29,1,418,624,user4_wd_5,9
29,2,984,1220,user4_wd_5,9
29,3,1447,1646,user4_wd_5,9
29,4,2020,2232,user4_wd_5,9
29,5,2628,2844,user4_wd_5,9
29,6,3309,3628,user4_wd_5,10
29,7,4008,4324,user4_wd_5,10
29,8,4717,5047,user4_wd_5,10
29,9,5509,5832,user4_wd_5,10
29,10,6331,6640,user4_wd_5,10
30,1,465,690,user4_wd_6,9
30,2,1063,1282,user4_wd_6,9
30,3,1659,1882,user4_wd_6,9
30,4,2301,2533,user4_wd_6,9
30,5,2913,3134,user4_wd_6,9
30,6,3519,3832,user4_wd_6,10
30,7,4275,4601,user4_wd_6,10
30,8,5012,5208,user4_wd_6,10
30,9,5610,5958,user4_wd_6,10
30,10,6380,6716,user4_wd_6,10
