video,type,type_idx,start,end,startFrame,endFrame
keynum_80,0,1,4529,5199,4529,5199
keynum_80,6,7,6539,7357,6539,7357
keynum_30,3,4,4637,5407,4637,5407
keynum_30,6,7,5775,6412,5775,6412
keynum_30,0,1,6982,7618,6982,7618
keynum_19,4,5,396,1189,396,1189
keynum_19,0,1,1750,2444,1750,2444
keynum_19,3,4,3566,4226,3566,4226
keynum_19,8,9,4853,5481,4853,5481
keynum_19,1,2,6537,7462,6537,7462
keynum_52,8,9,276,937,276,937
keynum_51,7,8,544,1204,544,1204
keynum_51,2,3,1899,2560,1899,2560
keynum_51,5,6,3287,3980,3287,3980
keynum_51,4,5,4575,5236,4575,5236
keynum_51,1,2,5799,6526,5799,6526
keynum_51,9,10,6988,7683,6988,7683
keynum_71,0,1,4417,5254,4417,5254
keynum_71,6,7,5889,6691,5889,6691
keynum_71,9,10,7227,7896,7227,7896
keynum_26,5,6,522,1313,522,1313
keynum_26,6,7,1905,2728,1905,2728
keynum_5,5,6,1139,1876,1139,1876
keynum_5,6,7,2681,3553,2681,3553
keynum_25,4,5,524,1216,524,1216
keynum_25,0,1,2005,2697,2005,2697
keynum_25,3,4,3652,4442,3652,4442
keynum_25,8,9,5232,6021,5232,6021
keynum_25,1,2,6680,7832,6680,7832
keynum_22,4,5,622,1347,622,1347
keynum_22,0,1,2039,2664,2039,2664
keynum_22,3,4,3882,4771,3882,4771
keynum_22,8,9,5496,6188,5496,6188
keynum_22,1,2,7274,7999,7274,7999
keynum_58,1,2,407,1297,407,1297
keynum_58,9,10,2122,2814,2122,2814
keynum_58,8,9,3639,4332,3639,4332
keynum_43,7,8,4,670,4,670
keynum_43,2,3,1170,1903,1170,1903
keynum_43,5,6,2502,3169,2502,3169
keynum_43,4,5,3835,4501,3835,4501
keynum_43,1,2,4801,5501,4801,5501
keynum_43,9,10,5898,6667,5898,6667
keynum_43,8,9,7233,7999,7233,7999
keynum_55,9,10,675,1366,675,1366
keynum_55,8,9,2420,3540,2420,3540
keynum_9,2,3,3826,4693,3826,4693
keynum_9,7,8,5362,5996,5362,5996
keynum_9,9,10,7298,7999,7298,7999
keynum_39,3,4,4454,5190,4454,5190
keynum_39,6,7,6092,6795,6092,6795
keynum_39,0,1,7263,7999,7263,7999
keynum_81,9,10,13,717,13,717
keynum_81,7,8,1554,2359,1554,2359
keynum_81,8,9,3197,4035,3197,4035
keynum_81,5,6,4839,5677,4839,5677
keynum_81,2,3,6548,7285,6548,7285
keynum_87,7,8,725,1486,725,1486
keynum_87,8,9,2113,2807,2113,2807
keynum_87,5,6,3798,4525,3798,4525
keynum_87,2,3,5088,5848,5088,5848
keynum_87,3,4,6409,7104,6409,7104
keynum_44,3,4,4452,5218,4452,5218
keynum_44,6,7,5818,6551,5818,6551
keynum_44,0,1,7184,7817,7184,7817
keynum_63,7,8,390,1052,390,1052
keynum_63,8,9,1615,2741,1615,2741
keynum_63,5,6,3502,4099,3502,4099
keynum_63,2,3,4563,5424,4563,5424
keynum_63,3,4,6284,6979,6284,6979
keynum_31,7,8,322,958,322,958
keynum_31,2,3,1729,2600,1729,2600
keynum_31,5,6,4344,5114,4344,5114
keynum_31,4,5,5717,6454,5717,6454
keynum_31,1,2,6957,7862,6957,7862
keynum_72,7,8,406,1075,406,1075
keynum_72,8,9,1744,2446,1744,2446
keynum_72,5,6,3349,4085,3349,4085
keynum_72,2,3,4554,5256,4554,5256
keynum_72,3,4,5824,6460,5824,6460
keynum_72,4,5,7195,7999,7195,7999
keynum_40,7,8,340,1042,340,1042
keynum_40,2,3,1612,2414,1612,2414
keynum_40,5,6,3384,4052,3384,4052
keynum_40,4,5,4755,5458,4755,5458
keynum_40,1,2,5926,6896,5926,6896
keynum_40,9,10,7398,7999,7398,7999
keynum_14,1,2,643,1475,643,1475
keynum_14,5,6,2572,3336,2572,3336
keynum_14,6,7,3869,4666,3869,4666
keynum_75,7,8,369,1109,369,1109
keynum_75,8,9,1546,2287,1546,2287
keynum_75,5,6,2825,3632,2825,3632
keynum_75,2,3,4104,4843,4104,4843
keynum_75,3,4,5449,6258,5449,6258
keynum_75,4,5,6863,7636,6863,7636
keynum_74,0,1,3760,4702,3760,4702
keynum_74,6,7,6082,6754,6082,6754
keynum_74,9,10,7361,7999,7361,7999
keynum_28,4,5,855,1615,855,1615
keynum_28,0,1,2706,3466,2706,3466
keynum_28,3,4,4721,5482,4721,5482
keynum_28,8,9,6606,7267,6606,7267
keynum_33,3,4,4568,5338,4568,5338
keynum_33,6,7,5706,6376,5706,6376
keynum_33,0,1,7047,7717,7047,7717
keynum_50,3,4,4744,5439,4744,5439
keynum_50,6,7,6000,6727,6000,6727
keynum_50,0,1,7388,7999,7388,7999
keynum_13,9,10,499,1197,499,1197
keynum_13,4,5,2693,3376,2693,3376
keynum_13,0,1,4156,4888,4156,4888
keynum_13,3,4,5719,6584,5719,6584
keynum_13,8,9,7248,7913,7248,7913
keynum_36,3,4,4467,5275,4467,5275
keynum_36,6,7,6755,7495,6755,7495
keynum_83,0,1,4504,5204,4504,5204
keynum_83,6,7,5904,6670,5904,6670
keynum_83,9,10,7103,7836,7103,7836
keynum_15,2,3,4356,5217,4356,5217
keynum_15,7,8,5946,6674,5946,6674
keynum_15,9,10,7403,7999,7403,7999
keynum_11,1,2,878,1746,878,1746
keynum_11,5,6,2881,3750,2881,3750
keynum_11,6,7,4884,5719,4884,5719
keynum_0,2,3,4323,5065,4323,5065
keynum_0,7,8,5234,5976,5234,5976
keynum_0,9,10,6381,7156,6381,7156
keynum_0,4,5,7359,7999,7359,7999
keynum_73,1,2,432,1299,432,1299
keynum_79,1,2,600,1536,600,1536
keynum_27,2,3,4494,5287,4494,5287
keynum_27,7,8,5783,6345,5783,6345
keynum_27,9,10,7237,7964,7237,7964
keynum_62,0,1,4053,4781,4053,4781
keynum_62,6,7,5477,6139,5477,6139
keynum_62,9,10,6834,7894,6834,7894
keynum_6,2,3,4820,5788,4820,5788
keynum_6,7,8,6389,7157,6389,7157
keynum_16,4,5,1289,1985,1289,1985
keynum_16,0,1,2648,3376,2648,3376
keynum_16,3,4,4503,5364,4503,5364
keynum_16,8,9,5961,7021,5961,7021
keynum_70,1,2,552,1617,552,1617
keynum_18,2,3,4467,5127,4467,5127
keynum_18,7,8,5557,6184,5557,6184
keynum_18,9,10,6878,7538,6878,7538
